date,new_cases,new_deaths
2019-12-31,0.0,0.0
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,1.0,0.0
2020-01-27,0.0,0.0
2020-01-28,1.0,0.0
2020-01-29,1.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,1.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,1.0,0.0
2020-02-06,0.0,0.0
2020-02-07,2.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,1.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,1.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,2.0,0.0
2020-02-26,0.0,0.0
2020-02-27,1.0,0.0
2020-02-28,2.0,0.0
2020-02-29,2.0,0.0
2020-03-01,4.0,0.0
2020-03-02,4.0,0.0
2020-03-03,3.0,0.0
2020-03-04,3.0,0.0
2020-03-05,3.0,0.0
2020-03-06,12.0,0.0
2020-03-07,6.0,0.0
2020-03-08,6.0,0.0
2020-03-09,5.0,0.0
2020-03-10,15.0,1.0
2020-03-11,16.0,0.0
2020-03-12,10.0,0.0
2020-03-13,35.0,0.0
2020-03-14,38.0,0.0
2020-03-15,68.0,0.0
2020-03-16,60.0,0.0
2020-03-17,120.0,3.0
2020-03-18,145.0,4.0
2020-03-19,121.0,1.0
2020-03-20,156.0,1.0
2020-03-21,125.0,2.0
2020-03-22,331.0,6.0
2020-03-23,128.0,2.0
2020-03-24,216.0,4.0
2020-03-25,313.0,3.0
2020-03-26,1426.0,8.0
2020-03-27,633.0,4.0
2020-03-28,657.0,14.0
2020-03-29,711.0,7.0
2020-03-30,869.0,1.0
2020-03-31,1169.0,28.0
2020-04-01,1112.0,7.0
2020-04-02,1059.0,13.0
2020-04-03,1673.0,29.0
2020-04-04,1251.0,49.0
2020-04-05,1363.0,44.0
2020-04-06,1614.0,49.0
2020-04-07,1157.0,43.0
2020-04-08,1230.0,57.0
2020-04-09,1391.0,55.0
2020-04-10,1474.0,74.0
2020-04-11,1385.0,60.0
2020-04-12,1168.0,84.0
2020-04-13,1064.0,64.0
2020-04-14,1298.0,63.0
2020-04-15,1383.0,123.0
2020-04-16,1318.0,107.0
2020-04-17,1717.0,183.0
2020-04-18,1791.0,116.0
2020-04-19,1469.0,158.0
2020-04-20,1436.0,113.0
2020-04-21,2046.0,110.0
2020-04-22,1590.0,144.0
2020-04-23,1766.0,140.0
2020-04-24,1920.0,172.0
2020-04-25,1778.0,156.0
2020-04-26,1464.0,163.0
2020-04-27,1543.0,95.0
2020-04-28,1605.0,147.0
2020-04-29,1526.0,152.0
2020-04-30,1572.0,137.0
2020-05-01,1649.0,188.0
2020-05-02,1825.0,207.0
2020-05-03,1653.0,175.0
2020-05-04,2760.0,116.0
2020-05-05,1298.0,172.0
2020-05-06,1274.0,189.0
2020-05-07,1450.0,189.0
2020-05-08,1426.0,176.0
2020-05-09,1512.0,161.0
2020-05-10,1268.0,124.0
2020-05-11,1146.0,178.0
2020-05-12,1133.0,122.0
2020-05-13,1176.0,176.0
2020-05-14,1121.0,135.0
2020-05-15,1123.0,168.0
2020-05-16,1201.0,90.0
2020-05-17,1251.0,117.0
2020-05-18,1138.0,103.0
2020-05-19,1070.0,60.0
2020-05-20,1040.0,70.0
2020-05-21,990.0,118.0
2020-05-22,1222.0,122.0
2020-05-23,1156.0,98.0
2020-05-24,1141.0,105.0
2020-05-25,1078.0,69.0
2020-05-26,1012.0,121.0
2020-05-27,936.0,94.0
2020-05-28,872.0,126.0
2020-05-29,993.0,112.0
2020-05-30,906.0,102.0
2020-05-31,772.0,94.0
2020-06-01,757.0,222.0
2020-06-02,758.0,31.0
2020-06-03,705.0,69.0
2020-06-04,675.0,103.0
2020-06-05,641.0,139.0
2020-06-06,609.0,66.0
2020-06-07,722.0,70.0
2020-06-08,642.0,27.0
2020-06-09,545.0,35.0
2020-06-10,409.0,62.0
2020-06-11,472.0,63.0
2020-06-12,405.0,34.0
2020-06-13,413.0,55.0
2020-06-14,467.0,58.0
2020-06-15,377.0,39.0
2020-06-16,360.0,29.0
2020-06-17,320.0,38.0
2020-06-18,386.0,41.0
2020-06-19,367.0,46.0
2020-06-20,409.0,46.0
2020-06-21,390.0,64.0
2020-06-22,318.0,20.0
2020-06-23,311.0,6.0
2020-06-24,326.0,18.0
2020-06-25,279.0,30.0
2020-06-26,369.0,20.0
2020-06-27,172.0,4.0
2020-06-28,238.0,8.0
2020-06-29,218.0,6.0
2020-06-30,668.0,44.0
2020-07-01,286.0,25.0
2020-07-02,0.0,0.0
2020-07-03,567.0,51.0
2020-07-04,319.0,21.0
2020-07-05,226.0,11.0
2020-07-06,219.0,10.0
2020-07-07,399.0,9.0
2020-07-08,232.0,18.0
2020-07-09,267.0,26.0
2020-07-10,371.0,12.0
2020-07-11,321.0,10.0
2020-07-12,221.0,14.0
2020-07-13,244.0,10.0
2020-07-14,565.0,7.0
2020-07-15,331.0,8.0
2020-07-16,341.0,12.0
2020-07-17,437.0,17.0
2020-07-18,405.0,12.0
2020-07-19,0.0,0.0
2020-07-20,680.0,13.0
2020-07-21,775.0,6.0
2020-07-22,571.0,4.0
2020-07-23,543.0,8.0
2020-07-24,432.0,4.0
2020-07-25,534.0,7.0
2020-07-26,350.0,4.0
2020-07-27,355.0,5.0
2020-07-28,699.0,11.0
2020-07-29,383.0,11.0
2020-07-30,476.0,5.0
2020-07-31,329.0,12.0
2020-08-01,513.0,6.0
2020-08-02,287.0,6.0
2020-08-03,285.0,4.0
2020-08-04,147.0,2.0
2020-08-05,760.0,11.0
2020-08-06,395.0,4.0
2020-08-07,374.0,4.0
2020-08-08,424.0,4.0
2020-08-09,236.0,6.0
2020-08-10,245.0,5.0
2020-08-11,666.0,6.0
2020-08-12,289.0,4.0
2020-08-13,423.0,15.0
2020-08-14,405.0,9.0
2020-08-15,418.0,5.0
2020-08-16,237.0,4.0
2020-08-17,198.0,2.0
2020-08-18,785.0,6.0
2020-08-19,282.0,13.0
2020-08-20,336.0,4.0
2020-08-21,383.0,5.0
2020-08-22,499.0,10.0
2020-08-23,257.0,7.0
2020-08-24,267.0,2.0
2020-08-25,751.0,10.0
2020-08-26,322.0,7.0
2020-08-27,448.0,4.0
2020-08-28,431.0,8.0
2020-08-29,510.0,6.0
2020-08-30,315.0,5.0
2020-08-31,267.0,4.0
2020-09-01,1008.0,9.0
2020-09-02,477.0,6.0
2020-09-03,498.0,3.0
2020-09-04,570.0,6.0
2020-09-05,631.0,0.0
2020-09-06,371.0,2.0
2020-09-07,400.0,2.0
2020-09-08,247.0,1.0
2020-09-09,1606.0,7.0
2020-09-10,546.0,2.0
2020-09-11,630.0,8.0
2020-09-12,702.0,0.0
2020-09-13,515.0,7.0
2020-09-14,518.0,1.0
2020-09-15,1351.0,8.0
2020-09-16,793.0,9.0
2020-09-17,944.0,5.0
2020-09-18,1120.0,7.0
2020-09-19,1044.0,5.0
2020-09-20,863.0,6.0
2020-09-21,875.0,6.0
2020-09-22,1766.0,11.0
2020-09-23,1248.0,6.0
2020-09-24,1090.0,9.0
2020-09-25,1341.0,6.0
2020-09-26,1362.0,6.0
2020-09-27,1215.0,7.0
2020-09-28,1454.0,6.0
2020-09-29,2176.0,10.0
2020-09-30,1660.0,13.0
2020-10-01,1797.0,6.0
2020-10-02,1777.0,22.0
2020-10-03,2124.0,90.0
2020-10-04,1812.0,53.0
2020-10-05,1685.0,19.0
2020-10-06,2804.0,23.0
2020-10-07,2363.0,26.0
2020-10-08,1800.0,11.0
2020-10-09,2436.0,16.0
2020-10-10,2558.0,28.0
2020-10-11,0.0,0.0
2020-10-12,0.0,0.0
2020-10-13,4722.0,42.0
2020-10-14,4042.0,27.0
2020-10-15,2506.0,10.0
2020-10-16,2345.0,35.0
2020-10-17,2374.0,23.0
2020-10-18,2215.0,24.0
2020-10-19,1827.0,14.0
2020-10-20,3289.0,18.0
2020-10-21,2251.0,16.0
2020-10-22,2672.0,35.0
2020-10-23,2788.0,33.0
